1 3 5 9 1.73205
1 3 5 10 1.41421
1 3 5 11 1.73205
1 3 5 12 1.73205
1 3 5 13 1.73205
1 3 5 14 1.41421
1 3 6 7 1.90693
1 3 6 8 1.90693
1 3 6 9 2
1 3 6 10 1.73205
1 3 6 11 2
1 3 6 12 2
1 3 6 13 2
1 3 6 14 1.90693
1 3 7 8 1.73205
1 3 7 9 1.90693
1 3 7 10 1.41421
1 3 7 11 1.90693
1 3 7 12 1.90693
1 3 7 13 1.90693
1 3 7 14 1.73205
1 3 8 9 1.90693
1 3 8 10 1.73205
1 3 8 11 1.90693
1 3 8 12 1.90693
1 3 8 13 1.90693
1 3 8 14 1.85164
1 3 9 10 1.73205
1 3 9 11 2
1 3 9 12 2
1 3 9 13 2
1 3 9 14 1.90693
1 3 10 11 1.73205
1 3 10 12 1.73205
1 3 10 13 1.73205
1 3 10 14 1.73205
1 3 11 12 2
1 3 11 13 2
1 3 11 14 1.90693
1 3 12 13 2
1 3 12 14 1.90693
1 3 13 14 1.90693
1 4 5 6 1.73205
1 4 5 7 1.73205
1 4 5 8 1.90693
1 4 5 9 1.85164
1 4 5 10 1.90693
1 4 5 11 1.41421
1 4 5 12 1.90693
1 4 5 13 1.90693
1 4 5 14 1.90693
1 4 6 7 1.62019
1 4 6 8 2.13664
1 4 6 9 2.13664
1 4 6 10 2.13664
1 4 6 11 2
1 4 6 12 2.13664
1 4 6 13 2.13664
1 4 6 14 2.13664
1 4 7 8 1.81265
1 4 7 9 1.73205
1 4 7 10 1.81265
1 4 7 11 1.41421
1 4 7 12 1.81265
1 4 7 13 1.81265
1 4 7 14 1.81265
1 4 8 9 2.16025
1 4 8 10 2.19089
1 4 8 11 2
1 4 8 12 2.19089
1 4 8 13 2.19089
1 4 8 14 2.19089
1 4 9 10 2.16025
1 4 9 11 2
1 4 9 12 2.16025
1 4 9 13 2.16025
1 4 9 14 2.16025
1 4 10 11 2
1 4 10 12 2.19089
1 4 10 13 2.19089
1 4 10 14 2.19089
1 4 11 12 2
1 4 11 13 2
1 4 11 14 2
1 4 12 13 2.19089
1 4 12 14 2.19089
1 4 13 14 2.19089
1 5 6 7 1.73205
1 5 6 8 1.73205
1 5 6 9 1.73205
1 5 6 10 1.73205
1 5 6 11 1.73205
1 5 6 12 1.73205
1 5 6 13 1.73205
1 5 6 14 1.73205
1 5 7 8 1.73205
1 5 7 9 1.73205
1 5 7 10 1.73205
1 5 7 11 1.73205
1 5 7 12 1.73205
1 5 7 13 1.73205
1 5 7 14 1.73205
1 5 8 9 1.85164
1 5 8 10 1.90693
1 5 8 11 1.41421
1 5 8 12 1.90693
1 5 8 13 1.90693
1 5 8 14 1.90693
1 5 9 10 1.85164
1 5 9 11 1.73205
1 5 9 12 1.85164
1 5 9 13 1.85164
1 5 9 14 1.85164
1 5 10 11 1.41421
1 5 10 12 1.90693
1 5 10 13 1.90693
1 5 10 14 1.90693
1 5 11 12 1.73205
1 5 11 13 1.73205
1 5 11 14 1.41421
1 5 12 13 1.90693
1 5 12 14 1.90693
1 5 13 14 1.90693
1 6 7 8 2
1 6 7 9 1.96214
1 6 7 10 1.73205
1 6 7 11 1.93309
1 6 7 12 1.96214
1 6 7 13 1.96214
1 6 7 14 2
1 6 8 9 2.28446
1 6 8 10 2.23607
1 6 8 11 2.19089
1 6 8 12 2.28446
1 6 8 13 2.28446
1 6 8 14 2.26385
1 6 9 10 2.23607
1 6 9 11 2.23607
1 6 9 12 2.44949
1 6 9 13 2.44949
1 6 9 14 2.28446
1 6 10 11 2.13664
1 6 10 12 2.23607
1 6 10 13 2.23607
1 6 10 14 2.23607
1 6 11 12 2.23607
1 6 11 13 2.23607
1 6 11 14 2.19089
1 6 12 13 2.44949
1 6 12 14 2.28446
1 6 13 14 2.28446
1 7 8 9 2
1 7 8 10 2
1 7 8 11 1.81265
1 7 8 12 2
1 7 8 13 2
1 7 8 14 2
1 7 9 10 1.81265
1 7 9 11 1.93309
1 7 9 12 1.96769
1 7 9 13 1.96769
1 7 9 14 2
1 7 10 11 1.62019
1 7 10 12 2
1 7 10 13 2
1 7 10 14 2
1 7 11 12 1.93309
1 7 11 13 1.93309
1 7 11 14 1.81265
1 7 12 13 1.97531
1 7 12 14 2
1 7 13 14 2
1 8 9 10 2.26385
1 8 9 11 2.19089
1 8 9 12 2.3094
1 8 9 13 2.3094
1 8 9 14 2.3094
1 8 10 11 2.13664
1 8 10 12 2.28446
1 8 10 13 2.28446
1 8 10 14 2.28446
1 8 11 12 2.19089
1 8 11 13 2.19089
1 8 11 14 2.16025
1 8 12 13 2.38048
1 8 12 14 2.3094
1 8 13 14 2.3094
1 9 10 11 2.13664
1 9 10 12 2.26385
1 9 10 13 2.26385
1 9 10 14 2.26385
1 9 11 12 2.23607
1 9 11 13 2.23607
1 9 11 14 2.19089
1 9 12 13 2.44949
1 9 12 14 2.3094
1 9 13 14 2.3094
1 10 11 12 2.13664
1 10 11 13 2.13664
